50 1837
16 8 37
48 44 48
29 3 77
27 3 51
2 17 47
40 12 18
12 46 29
0 19 65
37 10 28
32 25 41
21 36 21
32 26 93
46 49 1
24 15 47
3 24 22
5 46 43
2 8 42
4 37 88
12 37 5
35 13 74
9 41 6
46 40 63
49 9 27
33 23 35
26 21 64
25 12 40
16 17 25
44 3 92
47 37 39
5 27 92
17 6 47
40 45 6
42 14 49
46 9 33
31 45 80
42 35 18
12 18 93
9 23 32
37 28 77
17 2 13
43 27 82
2 18 34
17 37 42
44 15 41
23 11 26
37 33 83
44 13 99
46 29 30
43 34 24
43 26 33
29 21 99
19 31 79
5 13 94
24 33 93
2 4 3
9 10 48
14 39 98
23 28 48
45 49 53
8 47 92
33 4 58
0 46 76
26 7 63
18 38 16
0 39 32
46 45 73
6 31 38
12 25 4
40 1 14
25 39 53
19 41 25
25 23 23
10 32 67
21 39 33
37 35 46
13 23 83
8 49 36
32 7 72
42 41 21
6 13 32
42 23 72
4 23 53
0 33 23
15 12 55
20 15 65
47 24 32
41 15 15
42 34 78
47 32 34
44 28 89
29 13 89
23 48 8
21 20 43
37 27 17
31 8 24
38 41 51
43 9 66
5 24 54
25 44 40
26 39 90
10 49 34
19 45 40
28 40 16
1 34 82
13 17 1
8 38 7
35 44 62
1 45 19
36 38 32
1 24 15
1 41 65
17 43 89
23 25 58
1 42 73
4 46 14
24 16 59
10 3 44
5 15 56
3 13 20
21 22 39
39 4 78
26 12 24
47 14 1
37 4 18
14 15 58
35 30 74
20 3 49
29 6 12
15 47 63
8 3 43
5 7 14
3 6 72
11 7 62
16 24 58
13 0 64
49 2 42
6 7 77
47 36 20
33 15 29
3 33 14
14 2 62
37 20 28
12 36 55
39 21 35
7 10 66
22 28 2
27 43 91
10 29 26
14 28 75
15 13 58
17 46 79
11 27 63
16 43 49
46 2 85
8 12 15
10 46 95
26 10 50
28 42 96
32 33 5
35 5 83
32 17 45
22 21 42
2 36 71
11 33 2
23 26 81
48 9 99
44 32 91
29 41 34
8 48 51
26 42 81
44 30 44
22 37 53
41 28 77
30 18 72
41 22 12
25 35 48
12 34 93
18 4 79
25 37 81
49 16 24
33 3 77
17 14 40
46 19 6
