150 16762
34 108 14
83 55 53
37 77 48
103 25 69
5 130 56
106 12 22
15 124 9
8 109 3
126 77 25
75 38 59
23 140 56
112 43 84
60 93 61
146 137 69
130 132 90
148 16 14
113 5 38
26 103 50
18 45 99
31 132 77
107 134 9
121 85 39
70 146 56
108 32 33
65 87 44
100 33 78
33 66 7
89 62 55
142 78 7
11 110 15
15 19 70
110 115 99
43 107 14
145 84 17
136 104 84
70 56 90
108 97 12
38 25 88
111 27 40
109 114 33
63 108 28
19 90 85
75 109 21
2 128 8
106 40 12
117 87 64
74 39 38
11 48 38
11 44 42
99 73 57
84 42 10
49 45 51
130 58 50
57 49 58
109 20 84
128 138 96
118 85 99
143 23 38
10 144 74
74 108 34
136 52 3
28 61 27
129 63 79
136 13 59
146 141 90
83 90 90
51 105 59
143 47 98
139 149 5
89 100 76
86 71 40
11 128 70
8 33 71
46 30 57
7 114 30
49 69 39
99 147 99
137 74 44
114 16 15
45 63 69
60 15 3
23 126 84
148 135 56
124 13 60
149 82 4
29 4 27
137 41 56
29 52 32
44 10 72
12 68 92
34 73 83
18 84 23
78 81 12
7 128 44
47 99 80
86 11 60
25 125 87
53 34 50
108 9 57
71 28 36
47 75 54
129 11 22
98 92 96
44 114 81
85 31 49
15 90 79
88 102 34
47 98 51
125 72 51
65 68 42
50 67 88
139 87 37
129 143 11
102 43 25
81 9 97
78 114 67
53 114 71
25 77 35
129 121 57
33 100 99
3 85 98
68 149 26
104 16 43
48 93 86
93 11 84
131 35 39
50 26 80
1 97 46
76 27 33
107 6 28
36 56 83
29 20 30
59 71 90
21 75 97
5 68 82
132 97 41
59 56 86
112 49 13
60 35 35
68 44 28
5 81 31
107 8 17
25 115 65
101 88 89
112 21 31
76 122 94
81 60 72
15 143 70
95 132 23
69 74 99
104 28 51
110 143 77
90 133 42
148 95 70
81 64 6
74 111 92
143 20 28
53 125 99
144 34 33
65 114 25
48 37 99
67 149 38
125 139 66
141 3 74
0 12 93
4 26 28
114 78 19
88 10 14
99 65 93
93 109 86
63 19 48
128 94 34
72 16 78
100 9 8
18 118 59
76 58 58
103 121 35
24 57 56
4 1 45
25 37 81
84 40 60
64 121 44
60 79 90
70 138 78
76 30 18
101 4 32
129 4 68
8 117 98
14 138 82
128 24 70
99 61 48
138 33 78
100 91 56
146 71 60
114 63 40
61 36 25
133 142 55
51 63 54
55 37 27
19 137 10
86 60 22
3 123 20
118 13 55
116 96 50
136 58 40
53 23 45
70 67 43
3 94 44
106 140 67
149 0 75
0 110 10
112 76 38
117 2 51
26 100 12
62 105 65
112 83 37
90 128 12
9 70 35
99 128 38
4 68 96
49 98 41
48 108 42
93 127 13
119 117 95
37 80 81
33 147 87
45 55 70
80 14 76
98 86 9
15 18 15
9 66 54
77 55 84
17 29 23
67 114 53
130 120 82
22 142 11
62 142 1
140 101 31
93 140 49
88 59 58
11 127 22
135 64 23
144 91 75
57 139 91
139 5 44
49 133 83
141 9 92
125 1 70
28 36 90
80 37 71
23 106 31
79 50 78
62 51 12
34 16 87
75 56 27
87 89 18
26 50 37
4 12 97
76 25 76
92 147 14
126 108 41
81 101 1
8 18 94
104 94 32
145 117 3
120 54 86
109 148 63
25 122 85
97 25 50
111 75 68
18 128 96
101 33 63
1 3 49
95 6 1
134 129 97
110 54 57
60 87 22
35 124 62
127 114 94
53 111 41
106 146 72
109 40 24
102 22 11
144 134 97
26 87 27
125 134 50
38 34 74
125 117 48
22 21 45
115 92 11
90 82 11
27 31 36
114 142 29
69 40 55
71 5 73
37 42 50
60 24 62
134 100 97
109 149 64
0 30 50
0 145 68
88 29 5
115 124 58
120 147 34
75 47 57
41 86 25
0 75 31
44 118 17
120 129 39
16 146 86
93 124 5
22 149 97
94 3 71
105 56 60
140 36 90
86 66 67
84 45 56
62 89 90
128 49 53
39 64 4
22 44 65
123 71 61
120 145 66
119 112 38
22 8 33
52 104 46
51 101 84
119 6 83
23 109 33
7 34 13
141 70 82
91 37 32
133 90 84
91 121 4
110 36 92
113 69 22
62 10 18
115 81 1
86 43 67
82 48 55
107 56 82
94 135 45
149 53 77
75 126 53
121 36 40
105 0 62
24 27 41
136 22 83
115 21 70
21 99 65
4 109 2
87 69 10
93 36 6
25 89 36
114 133 78
79 59 24
145 97 24
1 96 54
55 119 48
124 61 2
13 11 53
37 46 7
135 90 28
91 4 33
109 1 73
92 79 32
24 33 7
99 84 7
126 68 48
99 131 39
42 137 96
17 32 4
96 80 81
39 42 42
25 90 22
46 70 16
47 148 89
12 76 30
0 50 69
137 94 58
97 43 65
48 123 30
112 53 65
125 106 29
66 102 67
14 102 64
44 74 11
95 53 20
69 96 48
147 66 48
62 149 46
115 137 50
27 26 29
131 28 8
78 77 76
114 118 86
75 134 76
115 93 39
120 95 18
146 42 53
70 143 42
137 69 19
31 107 66
10 95 95
32 139 53
61 0 41
119 50 9
52 26 79
121 114 84
142 98 53
46 71 29
149 116 59
26 59 20
36 76 29
29 55 64
106 31 21
16 57 77
113 90 12
86 103 12
6 136 8
131 101 16
109 85 39
117 46 83
142 131 87
96 106 46
17 42 25
135 72 64
5 118 35
27 142 80
107 121 24
31 11 7
39 133 39
109 123 74
2 25 78
126 21 99
89 69 24
40 67 33
50 143 29
145 85 44
46 0 91
137 91 94
140 111 69
131 118 84
28 58 4
9 132 80
96 36 9
65 132 26
54 114 79
93 4 57
90 98 11
109 12 3
110 71 71
83 23 53
26 80 77
69 86 18
71 14 83
120 112 23
12 125 7
130 101 10
73 77 67
97 80 11
120 77 41
25 70 28
67 49 59
42 102 44
40 77 96
11 147 13
58 62 9
22 119 15
49 32 83
110 96 94
42 116 85
59 95 39
99 67 43
37 97 55
124 99 69
9 103 87
100 123 25
25 134 73
135 147 6
7 103 66
52 87 62
60 70 55
116 8 29
50 39 29
93 76 98
68 35 72
89 127 44
14 116 84
26 78 49
40 41 83
116 58 46
23 66 22
103 73 1
89 107 86
107 55 94
35 103 11
29 70 79
85 104 33
129 136 84
125 132 78
147 24 37
36 67 82
9 115 11
101 148 67
105 113 32
10 116 72
33 134 18
119 29 54
136 147 89
24 50 12
22 79 73
4 15 94
118 101 21
43 41 33
44 3 57
94 56 91
125 31 97
76 85 72
104 2 76
61 84 86
118 26 49
18 107 83
144 29 21
42 143 26
13 123 55
149 2 75
124 20 17
123 31 59
2 0 50
39 67 16
83 138 88
113 95 8
8 27 78
102 26 35
17 130 67
29 79 89
128 141 12
113 26 57
111 64 87
62 99 38
148 124 85
66 18 38
109 122 98
18 64 6
104 115 5
73 100 47
120 39 47
113 78 30
69 109 60
9 96 6
116 60 74
57 51 18
122 51 3
20 82 89
145 72 52
31 25 9
16 69 85
57 6 68
129 13 92
141 91 39
127 51 76
132 43 23
68 116 97
46 58 95
109 130 43
69 101 76
91 109 95
26 116 83
55 15 30
28 139 58
143 4 71
65 95 51
6 87 38
117 130 41
138 101 62
38 11 66
71 95 24
84 65 71
131 40 7
149 100 17
71 96 19
76 94 42
78 76 44
71 51 50
22 143 16
89 126 50
80 73 68
126 7 65
108 113 70
81 7 23
137 139 49
31 32 87
82 130 34
91 71 17
125 124 31
46 100 79
124 14 17
37 38 15
109 143 95
29 101 68
16 61 90
72 124 88
147 136 84
10 94 81
110 66 5
48 86 65
99 105 82
106 47 46
7 83 40
52 101 52
91 132 54
123 135 11
91 74 97
66 21 30
41 72 69
40 65 21
52 37 33
10 146 88
88 18 31
149 19 20
40 66 33
65 149 44
61 106 19
13 74 3
144 37 73
21 62 61
110 128 7
68 52 10
65 107 26
78 18 46
143 121 87
60 38 31
21 100 2
30 78 22
134 93 9
114 52 15
47 7 73
6 94 1
12 46 12
75 6 82
45 44 14
87 26 15
80 144 63
115 65 61
148 60 78
45 140 81
96 144 5
90 107 33
72 135 96
27 47 26
16 95 66
12 124 32
116 105 98
115 141 46
29 43 88
149 117 36
94 4 5
37 98 79
134 3 63
111 70 37
113 29 58
87 51 10
3 142 35
86 45 35
126 48 12
42 125 2
31 10 9
56 50 95
107 81 14
40 138 11
51 81 74
61 64 92
45 78 34
47 96 68
69 117 3
119 107 44
19 54 66
125 2 92
76 68 16
43 117 5
77 3 25
78 123 45
146 30 85
49 75 42
63 111 20
38 75 42
126 89 70
121 71 94
83 126 89
40 2 27
33 56 8
85 87 4
63 139 71
138 14 60
126 104 64
117 108 20
42 1 8
65 130 86
60 39 92
45 120 71
68 53 32
127 37 16
113 116 89
144 9 83
92 70 36
133 74 71
25 141 80
116 12 41
7 61 2
73 57 61
10 81 6
52 34 82
67 105 19
136 55 30
145 28 54
51 144 52
52 114 26
36 144 84
137 60 88
43 123 20
88 85 72
115 118 77
73 62 69
27 49 4
80 22 24
14 70 26
122 8 15
122 74 88
5 35 32
25 4 62
0 21 38
49 142 34
99 52 70
52 79 80
130 117 30
24 81 26
108 47 29
44 128 63
41 43 46
22 70 8
37 147 3
136 73 94
107 83 1
59 144 1
58 115 19
94 114 72
22 97 49
99 81 64
31 59 65
15 14 52
52 20 69
36 25 33
32 107 61
92 119 35
19 30 79
92 114 82
91 142 87
133 129 83
119 30 74
9 48 70
106 89 87
100 43 19
76 15 74
90 83 97
78 53 82
51 3 56
47 48 45
79 128 96
103 98 21
5 60 64
68 147 80
84 67 66
40 22 27
37 76 64
104 27 58
54 80 61
55 121 27
23 114 83
25 60 94
100 140 17
3 71 58
33 47 32
144 55 4
108 137 27
70 64 30
26 82 26
37 96 61
7 29 67
8 61 73
25 100 26
60 42 36
88 134 58
2 30 51
111 32 80
138 65 8
139 16 5
35 110 90
38 58 47
23 5 54
85 117 82
19 113 25
71 40 99
115 49 21
146 63 37
72 90 9
54 110 62
16 21 64
103 114 71
116 16 72
122 30 9
149 140 46
27 51 29
88 65 62
66 118 58
6 142 15
28 13 34
57 48 39
133 139 3
124 81 88
74 73 42
149 8 68
28 15 86
117 131 75
114 73 44
84 48 77
86 58 61
105 52 14
67 54 34
66 84 78
20 32 77
82 118 34
14 45 64
13 108 34
118 136 54
76 9 5
147 56 60
92 73 86
147 13 31
15 56 22
82 44 87
143 77 41
80 0 45
110 46 45
58 33 14
39 71 5
74 109 58
6 143 35
86 114 52
30 61 58
37 73 18
129 131 67
143 114 63
105 90 63
37 104 34
7 66 64
125 64 62
13 33 30
43 7 80
24 85 66
35 98 12
88 111 25
53 16 69
122 115 89
98 33 65
2 79 44
134 141 42
89 133 72
101 143 94
146 4 56
121 59 38
25 112 63
78 8 89
112 74 10
65 79 28
72 93 34
33 18 9
105 15 60
129 20 49
131 80 36
11 148 61
132 125 56
129 82 61
136 45 48
42 38 74
110 148 87
25 118 32
80 116 86
36 109 71
43 50 41
15 33 85
74 88 39
2 93 45
145 75 31
140 143 48
137 29 56
93 40 56
124 56 45
147 95 56
130 99 54
88 20 65
75 30 49
38 39 7
95 39 45
77 105 51
115 114 70
99 101 11
111 11 12
149 32 82
134 13 61
131 29 22
51 135 71
48 106 92
97 92 59
89 49 31
50 28 98
91 108 73
23 145 27
71 99 87
85 140 67
75 69 44
18 83 49
128 66 70
24 14 42
98 4 7
58 143 59
55 137 46
90 100 84
50 130 26
66 98 23
89 68 38
107 2 49
41 95 39
126 47 1
44 9 15
130 126 5
46 26 81
61 147 90
33 10 72
32 49 99
42 135 36
52 144 23
14 98 55
47 64 18
124 55 72
77 90 1
46 108 59
3 115 39
95 89 59
6 47 71
143 51 36
62 48 18
107 122 67
95 120 68
98 64 14
117 28 6
92 86 96
98 62 93
46 129 84
59 147 7
30 33 95
111 47 76
125 127 15
54 145 16
66 78 56
26 57 81
22 78 87
67 137 58
74 26 66
48 52 23
14 63 39
92 35 49
29 45 17
63 103 44
9 90 94
121 0 9
