100 2475
45 78 10
76 72 36
1 5 31
20 56 49
90 11 98
62 18 77
60 94 82
84 81 32
82 42 36
91 6 44
43 27 6
37 72 61
94 64 85
25 83 88
61 35 23
87 76 95
30 77 13
40 22 18
30 14 76
76 62 4
53 39 78
43 55 91
49 61 59
79 47 5
13 85 32
79 52 11
59 60 98
76 29 50
75 82 44
83 22 77
7 51 52
25 70 12
22 92 51
86 34 87
68 66 47
19 20 1
88 87 7
17 49 1
45 62 28
81 40 29
92 85 39
72 29 95
25 90 49
84 99 91
27 26 60
15 30 91
73 35 71
30 35 59
17 28 2
53 98 10
55 22 18
33 61 4
79 43 96
79 0 69
13 73 97
59 20 40
80 63 33
51 89 56
55 61 47
54 31 35
69 44 79
12 93 10
38 13 31
85 23 18
22 81 78
74 8 60
74 72 24
74 92 96
2 78 94
23 79 23
15 18 64
48 58 66
91 94 82
97 91 55
49 22 45
26 76 28
48 43 34
72 98 30
98 15 84
22 29 54
65 85 59
51 38 62
61 25 15
0 51 14
93 35 17
66 27 19
92 91 24
87 10 25
18 55 26
43 88 20
22 98 22
94 54 36
42 84 6
11 61 6
72 62 58
84 96 99
33 65 27
34 64 89
22 30 76
17 36 68
88 49 1
74 26 81
3 98 65
69 63 23
49 42 30
8 2 19
78 72 33
75 40 81
80 41 30
88 2 56
95 4 78
88 97 74
2 23 44
47 82 89
50 97 5
11 80 63
45 34 96
29 33 54
39 84 94
72 30 70
5 79 14
80 26 51
92 45 84
68 94 36
79 7 49
64 92 31
76 50 2
3 23 29
87 93 13
84 30 74
44 83 78
90 20 23
72 71 60
58 79 29
84 60 77
17 16 58
20 57 18
38 34 51
39 33 40
41 24 53
33 68 74
8 6 69
61 13 36
47 77 83
64 56 66
16 73 1
24 10 42
8 75 4
81 13 4
77 31 41
81 1 11
41 19 86
20 96 76
9 54 23
92 76 84
20 40 98
19 77 35
74 21 74
26 51 89
86 3 78
9 6 57
14 30 18
8 76 59
55 56 19
79 74 69
39 81 65
2 67 84
79 98 55
57 68 90
93 98 13
62 93 20
99 59 48
12 11 7
56 79 39
71 42 42
56 92 91
40 39 36
18 64 90
69 30 1
61 12 36
69 75 68
49 44 18
7 46 55
91 7 39
55 54 36
35 21 75
84 4 3
66 67 64
67 89 11
38 84 49
15 83 67
64 88 23
