150 22350
128 60 83
55 86 59
104 9 57
63 35 43
38 65 43
51 17 34
3 121 15
43 124 67
98 148 80
89 44 73
114 120 92
14 128 32
61 16 12
119 131 82
65 114 80
39 51 47
66 142 86
63 83 84
65 31 57
64 83 42
91 22 37
85 70 69
69 142 78
42 88 83
112 103 75
76 18 20
95 89 18
141 104 14
142 22 30
33 7 85
76 109 34
119 109 44
144 50 29
126 127 38
142 103 90
142 139 7
143 20 22
6 138 95
5 135 2
22 21 60
60 0 8
109 46 92
79 125 77
15 0 69
103 68 71
54 104 78
140 99 35
3 89 31
39 46 71
125 145 71
106 68 34
123 88 96
40 39 43
143 51 89
23 30 34
102 140 46
27 68 69
138 11 34
146 98 47
6 129 51
112 105 35
148 64 22
3 53 21
128 25 13
17 29 9
99 16 19
89 149 97
56 85 17
144 108 73
30 18 57
113 63 61
53 3 40
95 22 78
146 62 80
78 70 61
31 110 25
87 10 79
35 44 61
131 8 43
60 3 87
22 15 1
61 107 17
112 116 54
95 63 67
39 75 68
125 64 39
142 127 31
103 124 60
134 46 30
83 128 58
0 89 8
43 118 19
12 131 6
149 63 3
127 60 40
115 25 41
98 129 65
97 71 85
32 139 58
11 138 72
46 96 22
135 122 24
74 89 42
71 142 13
50 48 29
53 102 94
87 24 29
4 12 27
77 14 95
145 7 59
59 26 36
124 1 82
147 30 36
134 40 23
111 29 23
37 136 28
141 149 35
7 28 14
113 90 5
13 62 62
106 126 6
121 9 84
140 84 66
7 43 42
42 31 40
7 146 81
10 114 1
94 41 31
52 48 65
21 13 26
126 55 58
92 68 65
97 100 77
91 88 27
100 24 44
146 84 3
126 54 39
79 46 53
67 6 2
31 147 23
2 84 17
126 131 24
73 36 75
65 143 40
21 106 71
101 22 57
12 83 64
16 134 85
101 42 86
125 43 15
16 9 57
71 31 54
106 40 48
32 79 67
55 66 14
134 13 51
27 19 72
37 42 3
95 18 81
20 138 46
129 13 36
99 63 31
58 1 13
41 78 55
140 19 71
31 50 53
109 104 23
6 80 29
134 15 99
9 2 31
33 39 16
129 122 97
72 133 23
116 53 47
17 25 95
12 100 21
104 141 53
57 95 83
74 32 83
88 20 13
36 73 14
2 113 93
131 33 45
138 67 77
77 47 76
5 104 96
108 126 43
115 96 62
60 22 97
116 21 46
120 13 31
149 11 78
89 74 59
15 30 72
116 85 71
12 32 40
72 70 69
22 143 50
91 8 11
99 106 11
30 149 25
59 56 50
140 137 54
59 38 92
126 107 24
74 116 26
98 104 5
140 138 29
102 96 26
8 80 86
48 65 87
120 60 22
136 48 29
120 138 85
18 48 28
99 137 6
105 11 42
54 59 92
98 84 75
8 96 60
98 0 61
100 80 23
140 62 77
131 149 49
118 18 69
129 143 61
130 116 51
86 0 17
81 31 8
20 96 48
146 139 93
120 12 19
132 102 65
39 45 98
137 97 99
93 13 52
39 92 54
58 92 95
53 41 81
45 65 91
18 142 64
119 98 8
85 127 9
62 73 82
149 62 38
16 68 86
131 100 85
52 76 68
122 105 77
139 27 16
137 60 84
149 109 6
102 87 72
113 43 15
22 93 28
52 105 54
129 108 24
122 44 8
44 116 70
45 19 93
102 97 31
94 24 81
47 19 62
101 30 40
67 13 19
87 45 19
134 76 82
34 135 46
50 141 25
75 136 51
23 147 63
91 3 74
26 16 51
76 73 20
4 124 79
75 68 32
70 24 61
25 26 92
122 70 79
29 146 4
39 149 57
148 41 34
36 144 75
45 13 92
59 61 71
10 30 77
146 34 22
137 42 11
143 107 60
58 41 70
16 83 25
21 55 1
13 127 31
30 10 29
113 65 40
38 31 1
19 46 84
132 126 84
12 103 32
95 93 22
27 75 89
73 79 7
36 100 82
52 102 74
48 58 63
93 38 14
112 73 38
68 43 6
88 11 67
28 143 80
149 51 50
25 47 81
56 42 6
1 129 69
125 8 3
72 28 82
103 37 80
142 75 77
56 75 70
74 100 69
63 68 9
59 75 71
108 56 78
120 83 65
109 16 42
7 117 5
10 58 78
114 108 95
26 8 50
111 122 71
139 67 86
97 13 28
79 146 66
98 134 64
133 95 68
141 122 93
39 82 37
128 26 74
26 119 15
138 133 97
143 108 37
138 72 22
95 142 34
119 47 82
131 7 14
87 27 42
1 138 49
68 23 14
10 5 5
106 21 5
109 31 68
16 66 47
26 125 96
140 73 3
61 93 75
45 24 2
104 74 42
135 124 35
16 81 89
65 92 31
82 46 34
147 149 58
72 84 94
77 111 36
145 21 50
110 90 65
145 99 41
85 6 5
34 50 17
113 39 73
137 133 14
47 27 9
98 87 20
61 45 48
39 131 75
89 133 89
138 74 39
11 88 26
53 139 26
126 71 34
94 137 7
30 91 36
122 49 71
117 44 95
15 16 34
127 13 61
83 33 90
67 121 13
39 67 17
111 94 19
12 70 46
90 116 87
109 143 6
54 88 53
70 80 47
53 121 31
46 78 28
58 32 60
101 33 26
133 41 59
66 117 48
24 42 8
123 137 94
54 135 4
117 88 56
127 34 82
105 47 82
35 75 75
55 75 50
0 35 64
131 138 78
140 95 48
136 139 22
131 19 28
142 126 41
60 64 84
110 132 19
128 20 87
64 26 96
82 30 63
63 99 95
147 66 30
54 122 8
54 99 45
109 97 84
120 116 67
75 146 75
18 44 91
133 97 24
62 5 1
60 115 48
76 132 49
5 136 65
33 24 67
2 100 57
141 5 56
19 23 13
6 98 10
52 43 84
103 139 71
128 104 37
115 75 20
5 120 23
63 39 49
33 29 30
126 106 92
107 37 18
31 12 38
68 94 34
4 68 10
43 62 79
18 138 38
71 20 95
22 82 53
17 0 81
92 113 15
85 97 30
123 25 51
14 144 39
111 124 4
35 90 63
131 110 96
75 126 52
120 55 1
83 4 67
118 121 73
45 20 61
118 66 11
72 93 36
25 88 62
123 68 66
117 75 73
5 95 29
16 120 16
72 78 17
80 88 66
118 80 47
18 121 88
146 90 74
66 145 48
116 35 1
41 129 77
146 111 78
146 82 90
137 74 77
78 114 58
132 74 59
40 104 16
53 118 38
47 49 76
32 102 26
27 131 38
143 132 53
0 123 42
22 23 78
146 77 22
129 73 31
145 106 69
127 63 30
5 124 12
96 102 52
140 121 97
121 18 46
94 21 52
96 115 46
5 8 77
32 92 79
63 100 23
29 18 42
23 88 67
53 91 39
144 90 45
141 119 89
42 16 6
18 11 59
85 136 78
97 44 8
99 133 74
124 139 87
132 93 40
118 73 52
94 57 37
63 135 9
97 135 84
104 8 88
70 5 8
52 123 48
27 95 74
3 16 58
86 67 70
90 56 50
41 121 32
96 1 4
27 147 78
148 114 98
6 67 20
31 134 80
85 43 49
6 65 80
69 67 99
4 101 66
135 52 80
147 128 18
9 11 82
29 12 85
137 115 68
136 58 99
9 67 10
66 88 69
57 145 7
124 49 12
61 67 66
34 120 97
18 19 70
142 94 65
130 148 10
86 45 91
18 120 45
77 91 80
14 4 80
116 129 77
91 115 17
81 13 91
48 17 5
33 75 43
74 61 78
19 136 99
27 70 77
143 43 31
108 133 52
26 90 93
121 76 4
66 86 65
100 83 44
124 80 47
139 110 41
51 59 76
93 45 34
107 110 44
30 52 78
35 10 70
125 143 81
125 110 68
20 105 76
48 59 61
129 79 8
70 138 92
100 76 64
132 92 24
12 108 63
99 53 42
54 7 71
3 115 44
75 147 9
119 34 73
42 106 88
18 68 78
55 81 62
15 44 85
52 66 92
26 42 36
19 133 79
107 102 64
146 106 90
88 125 24
7 89 3
116 42 52
91 78 83
10 109 59
11 45 38
147 90 22
35 61 86
59 21 59
82 120 7
119 77 30
23 9 17
9 68 89
56 112 56
140 71 41
148 1 35
33 36 10
5 38 58
55 48 72
51 73 5
30 76 68
36 120 34
103 128 18
63 44 77
141 10 47
1 121 14
125 41 54
21 90 49
87 82 12
33 30 10
123 39 13
61 26 83
48 23 69
39 42 89
