500 249500
461 338 29
270 410 13
376 431 55
356 222 4
441 98 67
101 457 6
340 390 52
138 41 50
389 405 95
134 429 84
254 432 67
433 96 81
5 202 94
4 52 85
195 431 93
389 138 95
171 375 3
475 251 12
484 288 86
402 293 43
28 356 77
175 345 76
233 8 40
138 424 75
333 31 40
199 214 10
192 44 29
405 59 52
126 354 65
386 43 68
18 162 40
55 371 55
41 450 56
272 78 21
347 129 29
78 121 61
338 1 54
198 111 51
257 124 70
37 319 91
455 481 27
316 50 97
490 432 53
77 402 31
375 324 57
148 349 14
122 8 82
470 47 36
487 43 32
337 157 75
47 493 97
346 273 8
179 134 67
250 449 49
412 171 75
267 440 97
348 242 15
369 258 5
366 143 51
67 44 47
240 99 5
363 86 42
224 40 14
106 414 95
476 69 5
2 69 11
70 105 73
315 392 37
114 398 1
466 162 33
480 60 91
159 309 73
98 406 64
277 337 41
177 285 42
484 399 86
375 88 95
422 285 65
197 205 22
22 268 61
303 8 1
325 84 68
421 455 2
28 355 68
160 413 61
154 191 51
291 410 30
138 261 55
451 316 4
392 411 3
246 457 19
358 58 34
170 280 85
320 315 58
132 336 76
377 373 23
34 192 89
27 136 26
466 11 56
469 269 23
51 43 33
165 50 37
38 185 39
213 188 90
15 229 78
200 82 38
396 291 75
305 473 86
87 357 85
366 225 36
6 55 41
68 379 44
1 119 82
279 493 31
338 416 35
332 413 46
48 169 65
279 171 29
266 96 26
150 75 15
129 439 13
83 108 19
339 2 7
390 462 42
118 201 35
186 357 38
32 78 13
149 248 80
466 225 33
268 462 36
223 362 43
2 486 8
472 473 75
387 167 42
37 463 9
463 159 89
358 295 93
50 278 91
382 10 60
115 142 46
70 208 25
432 477 73
28 393 6
89 52 68
7 90 63
97 103 82
165 305 19
350 178 47
386 462 8
316 291 79
85 329 4
128 193 47
264 407 46
258 229 42
214 354 25
403 416 20
120 333 5
23 461 44
395 415 45
34 246 87
217 353 71
352 151 9
203 180 88
268 21 52
226 279 36
459 157 92
383 251 60
264 131 16
55 282 92
382 56 82
364 377 36
163 116 30
12 28 16
211 488 44
491 243 14
37 191 47
350 335 6
286 343 70
279 283 18
275 410 80
191 223 8
464 396 60
401 32 72
211 82 55
12 450 87
394 434 43
36 49 37
181 10 44
479 240 14
402 401 54
466 4 26
405 407 9
366 223 71
162 481 90
323 82 19
180 315 11
20 311 57
482 355 70
210 13 61
253 438 46
326 157 4
290 353 81
88 326 54
498 306 51
165 465 43
391 419 6
360 215 75
307 14 59
77 19 82
106 227 58
250 29 71
102 252 89
416 231 37
443 63 84
359 149 3
335 180 85
345 118 36
299 392 38
102 301 38
471 426 75
404 369 8
381 46 24
142 278 35
119 40 73
23 326 98
470 227 24
304 172 64
194 341 95
440 377 77
299 196 54
257 258 1
334 150 32
457 430 99
152 350 7
164 317 91
87 151 3
181 105 44
280 240 64
170 164 87
67 239 54
242 398 96
184 358 94
403 298 64
358 449 32
45 83 79
425 354 2
77 152 86
200 334 80
454 107 79
90 195 85
356 66 28
434 139 1
211 466 52
355 302 38
185 433 78
2 172 50
3 60 73
432 305 99
12 195 62
204 352 76
477 247 73
258 308 72
17 314 41
23 308 31
324 137 75
195 23 88
323 155 18
380 271 22
479 442 15
493 182 93
157 479 35
77 256 30
453 187 36
194 95 84
181 293 11
281 132 44
221 336 79
335 138 12
39 337 9
492 227 94
400 60 36
339 7 32
91 131 39
375 21 84
89 399 87
46 25 87
114 200 45
399 174 65
256 54 7
440 332 81
212 137 4
403 390 21
280 291 60
93 37 35
167 342 24
471 32 6
213 315 25
307 187 31
425 35 64
88 235 27
20 5 85
66 173 6
247 158 73
338 211 28
186 124 58
75 11 26
106 122 20
10 229 40
149 366 33
300 209 65
235 263 12
1 121 51
444 378 54
392 94 88
59 78 88
57 273 17
374 272 60
404 11 1
241 324 61
280 235 12
52 58 22
234 124 30
160 164 58
390 309 85
408 406 70
410 429 10
310 242 99
476 250 77
117 411 68
247 262 17
82 403 86
259 161 4
55 98 1
248 289 19
486 135 97
338 162 83
365 284 68
340 469 67
16 433 96
414 236 37
121 329 30
63 220 67
499 99 77
72 26 28
440 40 86
419 202 67
336 294 28
261 406 12
445 425 44
208 316 18
135 89 14
94 327 31
157 459 18
41 0 73
4 402 18
457 92 92
221 16 26
356 183 58
386 81 53
197 353 45
433 330 96
328 85 98
194 495 35
270 36 68
118 190 38
465 446 80
293 14 87
429 421 73
266 496 52
80 494 40
144 67 91
376 314 54
132 365 33
118 387 4
114 344 51
197 195 42
177 210 96
213 115 76
417 36 11
382 436 37
411 253 45
110 224 68
247 142 96
289 446 67
241 107 26
330 456 82
135 301 28
165 164 21
185 297 81
423 163 3
243 160 91
413 331 13
315 123 92
81 492 44
212 361 9
316 333 55
229 191 91
335 48 33
405 68 25
63 30 67
149 122 29
269 261 67
446 250 7
352 342 73
390 126 69
384 114 53
253 168 91
32 299 35
64 209 53
293 398 19
315 330 2
104 408 83
331 346 18
226 260 93
161 68 57
321 171 1
490 178 61
256 325 85
391 40 48
33 283 97
1 73 43
271 4 61
473 71 45
402 66 93
257 266 99
280 202 93
177 331 86
50 418 33
141 270 84
345 27 7
93 481 62
448 415 2
70 37 56
376 91 38
410 236 52
187 4 37
4 288 54
201 26 95
282 473 90
9 164 46
347 24 58
252 342 65
14 54 7
4 456 60
62 254 81
89 362 67
25 439 83
485 56 46
302 188 35
0 135 65
202 272 92
62 371 1
19 468 72
212 348 19
245 465 58
178 187 43
205 268 51
479 144 96
481 243 30
123 421 47
166 54 49
247 396 28
305 197 75
416 26 75
69 130 61
492 99 28
159 260 69
49 185 29
321 387 32
110 229 45
159 135 3
424 116 83
298 174 90
474 334 62
94 450 92
163 491 8
469 185 13
106 120 73
460 439 36
332 279 67
33 410 87
390 208 60
127 479 32
147 487 54
191 14 59
25 474 40
38 66 99
342 313 63
213 62 92
311 87 84
79 299 28
252 223 66
88 457 82
314 217 83
142 414 9
72 298 94
320 15 85
81 498 45
120 364 50
4 98 29
439 221 89
427 376 98
362 325 66
371 350 14
162 327 32
157 359 9
14 356 58
479 155 34
33 248 37
193 37 28
233 430 94
288 360 93
286 478 19
273 119 20
93 112 86
209 93 50
125 182 41
436 289 99
235 155 47
269 191 67
340 478 3
104 93 1
393 143 96
66 208 12
222 219 74
344 426 68
205 8 5
226 469 44
241 182 90
465 251 12
89 138 56
400 467 70
496 396 35
9 215 42
39 263 87
68 76 50
55 42 25
48 476 94
457 408 58
407 133 93
51 57 2
431 384 51
114 329 35
350 244 88
235 475 80
178 473 47
484 194 60
315 375 76
28 387 82
189 313 63
458 91 91
207 221 93
477 455 48
375 353 67
143 275 73
374 230 61
479 241 42
96 458 49
314 56 60
24 187 11
424 428 30
17 430 31
101 415 66
197 231 82
276 382 84
351 46 35
287 108 58
421 424 2
292 163 11
49 462 24
161 486 86
323 494 57
450 28 73
263 250 4
234 433 64
388 469 39
138 477 75
112 268 4
120 324 50
207 332 5
348 193 64
291 262 89
4 195 96
259 422 86
285 21 38
14 320 87
13 33 31
212 369 27
183 372 15
211 40 47
216 384 74
204 6 16
256 490 64
461 459 83
368 418 40
319 111 27
50 203 55
216 272 27
405 162 54
63 276 36
17 276 22
93 345 10
248 333 10
426 441 17
491 297 14
213 302 55
209 135 96
24 206 63
162 142 25
237 17 10
201 35 16
253 370 63
40 468 31
426 452 66
416 447 61
493 453 28
491 447 78
78 318 69
75 491 91
96 248 6
148 211 17
107 209 98
391 462 18
481 379 40
493 232 2
449 373 68
74 247 73
157 18 40
367 159 15
400 82 49
259 51 19
484 390 90
139 463 23
465 164 14
173 213 94
157 327 57
110 72 7
114 36 83
396 493 94
52 331 58
412 16 11
279 239 46
463 458 95
167 217 74
61 496 33
71 323 55
323 290 11
449 48 64
311 498 53
468 378 11
21 297 9
57 96 67
468 410 4
84 399 90
465 451 83
247 475 92
152 209 66
161 485 24
243 343 59
100 133 6
364 222 60
244 298 67
29 317 84
110 325 49
341 88 2
267 197 98
251 139 60
488 479 96
387 370 88
497 456 44
455 12 19
399 104 54
370 160 27
287 277 63
310 481 34
86 34 26
499 278 14
485 172 6
172 130 93
115 478 2
146 305 15
6 462 93
424 126 65
364 60 4
328 465 20
81 217 17
308 107 20
446 380 30
212 462 53
13 299 79
335 153 41
124 455 95
303 305 62
56 30 10
49 213 15
36 317 48
91 313 40
344 38 88
24 438 72
302 262 72
385 350 76
295 71 83
381 168 3
366 117 82
271 209 11
5 230 68
466 473 1
261 180 68
18 176 99
241 194 71
432 418 65
31 419 90
430 402 90
113 384 8
346 22 41
161 493 41
40 232 31
438 187 41
312 474 17
306 423 21
289 7 70
392 319 68
174 386 16
196 9 13
184 311 13
231 70 73
488 427 10
281 353 95
113 128 37
288 244 65
299 450 61
244 28 1
338 463 17
371 412 16
218 345 43
191 318 15
343 24 3
161 47 32
491 198 53
386 21 70
258 256 54
330 406 78
190 45 83
362 34 78
433 470 17
397 277 76
152 122 59
87 270 31
148 47 84
152 494 59
2 368 89
104 453 71
155 295 90
432 88 86
88 297 80
450 170 23
229 263 24
153 144 8
184 147 50
44 135 39
448 425 12
323 91 79
163 360 87
174 300 6
424 35 11
377 407 57
404 375 31
59 42 38
35 209 24
63 456 63
449 334 71
338 142 7
10 409 34
400 298 23
219 237 84
298 69 34
483 312 74
393 16 27
146 9 43
335 264 73
139 367 68
42 441 74
293 497 17
78 304 85
99 115 73
175 87 70
249 414 71
71 55 65
224 479 26
254 14 2
421 305 3
422 258 33
199 494 63
56 426 74
198 156 35
331 423 95
488 357 87
482 148 17
308 78 90
27 215 95
206 195 38
439 357 88
13 487 35
177 281 69
275 339 76
36 40 90
347 428 70
193 399 58
250 118 51
355 275 53
317 360 21
189 54 33
498 307 63
249 100 81
22 133 57
438 46 2
260 367 87
450 249 56
429 114 28
298 123 64
102 498 46
3 327 26
90 9 57
408 170 52
498 81 98
257 347 41
247 224 38
460 276 25
441 366 12
345 48 40
268 53 37
238 76 60
200 347 20
273 369 39
69 225 88
22 382 38
261 374 39
257 411 17
181 111 91
94 444 63
376 221 17
58 392 24
151 386 53
312 145 2
273 406 15
12 287 47
361 363 34
15 353 48
215 94 28
286 383 51
273 464 49
237 343 15
287 117 38
164 467 73
72 211 16
275 147 17
178 258 34
69 132 74
334 375 56
492 195 85
69 296 85
23 242 15
348 494 72
360 354 84
346 205 73
456 285 5
286 179 28
314 324 81
264 226 32
360 172 79
49 54 21
381 448 29
184 208 11
489 224 87
429 235 22
225 456 40
40 54 96
223 375 18
389 397 9
193 367 76
498 317 23
473 492 70
75 32 78
144 274 68
66 234 31
168 403 81
230 414 39
390 41 56
137 483 53
235 374 74
399 306 62
137 181 5
462 197 65
267 439 33
255 375 96
161 187 69
426 376 8
50 157 15
364 85 95
204 196 83
28 248 9
180 334 16
144 337 27
159 211 36
351 288 54
22 255 16
68 60 8
399 192 50
327 263 84
447 431 8
314 297 5
304 326 28
303 436 24
232 110 10
264 499 81
181 269 4
181 99 23
55 194 26
241 100 31
80 124 89
126 9 39
96 441 48
270 135 93
228 202 68
357 87 52
442 474 97
237 269 54
64 118 20
176 302 65
379 244 20
444 461 34
258 300 20
221 253 28
317 122 52
381 134 12
461 199 32
268 407 84
216 494 35
274 263 82
72 321 2
26 323 72
12 405 27
264 408 50
363 77 83
133 467 63
484 112 9
264 414 98
200 138 19
463 398 21
