100 9900
9 66 42
75 67 20
9 26 52
2 45 83
2 81 49
43 49 27
76 19 74
70 37 31
66 96 27
24 86 11
78 85 27
29 41 67
81 30 24
17 41 63
65 7 59
4 22 55
55 63 92
51 82 89
51 86 28
68 14 79
19 76 20
22 50 37
22 87 55
43 94 32
87 35 48
36 94 79
92 69 43
14 30 4
2 26 93
79 47 36
60 87 55
54 35 85
87 39 3
86 73 65
29 93 94
46 53 1
8 41 4
31 27 48
62 50 74
39 10 94
35 28 18
25 48 59
16 99 19
22 91 21
36 83 37
37 8 95
89 57 63
92 2 99
93 16 15
2 37 19
34 88 91
96 12 75
71 0 62
16 52 22
82 86 14
80 98 62
55 52 17
24 50 65
85 42 61
12 43 65
30 87 40
37 94 96
82 36 41
91 9 29
16 0 80
85 28 32
24 53 56
37 47 27
16 25 22
80 1 16
80 7 41
12 98 1
88 79 7
18 36 53
38 33 3
6 82 13
53 88 95
49 37 45
87 18 44
33 36 66
9 95 2
86 96 52
7 40 4
86 84 30
11 86 84
58 52 22
46 8 89
15 76 61
73 83 38
17 15 23
31 82 43
75 77 1
81 76 7
74 55 89
73 86 63
60 77 98
73 49 10
84 67 14
45 73 90
48 55 39
36 69 11
46 56 81
76 62 24
58 15 42
83 21 99
6 38 80
2 58 69
16 62 5
28 64 41
7 87 11
2 11 24
78 35 52
19 71 32
28 60 42
70 34 78
57 32 20
39 6 46
5 0 64
70 56 52
66 80 67
76 14 69
8 16 34
13 67 10
77 92 37
32 56 13
21 18 46
78 71 55
94 67 84
33 88 79
68 85 40
23 51 33
3 83 91
36 42 46
21 51 15
56 73 71
18 25 96
85 74 26
44 76 16
69 97 48
22 30 44
35 75 37
53 73 85
40 7 22
6 83 81
81 73 24
20 83 27
79 81 96
16 22 49
84 93 51
89 67 44
63 93 4
12 42 23
89 50 33
73 12 46
75 73 75
86 29 52
92 40 47
44 53 2
29 66 2
70 48 63
95 80 42
72 71 81
88 6 63
40 39 69
31 40 74
40 93 74
13 37 33
48 11 55
27 35 97
48 22 49
57 22 75
14 15 69
29 25 72
47 27 80
92 91 75
47 97 32
69 50 54
1 77 74
7 53 82
36 12 24
45 96 6
24 20 59
16 78 89
27 59 26
69 71 85
84 20 98
34 14 39
52 57 47
53 76 34
4 21 99
4 17 15
84 68 17
31 91 21
56 63 18
22 2 11
63 21 49
79 25 87
82 76 92
78 74 5
83 64 80
33 5 68
44 43 7
73 59 1
49 6 50
68 36 93
3 7 97
75 0 69
47 86 95
15 81 49
67 71 11
7 72 35
36 45 8
50 44 6
4 25 94
69 8 19
55 49 1
98 60 2
3 52 24
3 18 16
54 42 57
29 70 32
71 39 92
39 16 27
52 37 72
44 11 69
8 68 49
37 1 55
19 34 53
46 39 28
4 8 1
98 12 35
49 17 49
43 28 53
66 72 55
11 95 81
85 29 78
24 32 75
24 27 98
62 79 36
94 42 3
72 51 45
16 66 92
76 27 19
75 61 5
74 65 63
20 36 18
20 61 74
19 82 74
21 86 77
22 43 10
27 44 65
1 61 33
1 8 9
74 4 88
70 69 10
48 92 50
2 86 33
92 75 43
96 38 49
76 42 50
83 36 73
47 17 97
76 40 89
54 21 43
68 3 41
38 2 69
12 6 41
98 58 83
85 21 99
42 41 23
28 57 54
61 49 47
4 44 3
73 65 64
52 29 7
14 36 14
95 45 42
57 11 77
52 6 45
37 67 79
47 70 44
74 33 41
6 3 55
19 4 19
92 25 36
46 95 21
95 83 52
77 75 6
90 98 20
95 13 57
84 48 63
28 74 4
9 41 72
26 71 98
69 39 13
27 99 24
89 64 79
56 46 38
37 53 81
98 62 34
94 31 87
93 94 70
79 22 58
94 44 43
31 93 10
84 26 79
17 32 96
82 92 19
92 28 33
85 14 81
62 58 82
17 72 69
93 58 91
74 6 25
23 53 52
22 46 38
99 11 8
71 76 52
53 39 87
51 63 55
3 17 22
19 68 42
14 21 3
43 24 75
9 93 76
66 70 23
69 96 98
38 64 96
30 34 82
30 19 74
66 92 27
38 65 96
17 14 46
74 30 32
45 46 33
95 71 70
98 96 2
96 26 62
12 88 40
21 4 57
51 72 48
25 43 30
32 12 54
44 71 34
76 46 97
73 3 94
87 29 99
74 99 34
99 27 73
49 8 20
35 49 11
23 95 9
34 23 4
68 95 71
2 95 36
56 29 20
65 10 4
94 68 87
34 29 23
70 27 77
44 78 66
12 13 49
26 73 78
40 73 84
46 25 15
76 83 70
49 34 13
84 58 38
45 75 49
61 43 17
96 39 52
30 11 34
49 14 78
31 87 86
14 13 10
64 75 57
88 30 77
20 23 64
32 52 17
18 58 93
52 28 59
45 70 62
12 75 45
0 55 67
57 67 87
79 78 86
68 23 99
44 52 77
85 84 59
33 86 91
27 62 41
87 71 21
9 39 67
81 22 78
88 77 38
10 66 47
71 55 54
3 2 21
55 30 38
59 92 14
25 81 22
42 59 94
22 58 77
84 1 82
59 61 15
33 8 64
32 63 40
69 84 42
15 71 88
62 69 46
79 1 52
52 0 11
17 26 82
40 85 27
75 5 47
98 71 26
91 1 56
99 87 75
44 99 91
65 90 96
85 62 4
60 57 48
59 9 30
21 55 97
23 14 84
68 57 3
53 50 31
39 23 81
47 45 60
84 19 19
73 85 23
64 59 30
41 25 74
72 81 85
16 9 54
34 65 15
97 48 40
43 26 75
45 31 44
30 47 90
58 24 52
66 94 67
37 23 23
98 85 92
31 56 39
43 19 74
30 59 41
7 61 91
86 51 77
48 76 69
32 21 12
85 40 49
45 44 82
80 12 53
25 29 9
43 8 98
46 68 1
45 20 85
10 24 64
28 26 38
75 90 4
39 34 94
82 90 35
11 26 39
58 73 63
78 92 15
10 75 43
82 60 95
35 55 86
35 38 24
69 3 1
58 4 87
60 45 57
94 88 97
37 31 72
15 98 16
39 75 92
63 43 1
52 51 7
53 81 60
56 49 80
58 34 22
75 32 65
14 17 30
5 95 82
75 23 22
26 92 34
34 17 56
88 25 13
71 80 62
37 59 16
38 22 12
97 37 75
45 84 91
17 25 9
59 15 81
74 91 4
96 18 72
31 98 9
97 5 41
79 60 22
69 14 13
87 79 45
70 77 47
37 30 31
72 42 61
23 6 92
34 56 95
34 37 73
43 78 19
34 20 74
61 0 59
77 95 56
13 79 30
4 15 33
39 60 12
73 51 23
25 97 14
55 98 85
11 18 28
19 99 32
9 11 15
57 12 20
46 40 63
98 39 90
59 79 55
96 23 29
56 69 96
49 57 91
16 86 3
46 45 10
