50 2450
16 30 67
47 4 5
24 43 95
2 44 10
49 35 12
35 36 43
18 48 20
36 24 54
28 22 95
38 49 50
31 37 50
24 46 49
4 32 86
21 47 24
14 25 40
46 48 9
25 21 72
46 7 33
1 19 32
18 40 17
8 26 25
5 10 26
27 47 71
49 20 93
0 44 65
6 41 93
7 3 44
30 33 82
30 39 28
15 46 72
32 6 85
3 31 74
18 14 91
11 26 18
49 27 84
7 41 17
22 14 50
12 5 46
9 39 85
9 38 16
39 26 77
32 9 95
48 27 63
28 40 94
22 3 49
30 4 19
40 42 28
15 28 5
4 43 37
18 47 21
26 23 77
35 9 64
44 34 72
4 48 30
19 49 79
16 23 22
19 1 79
28 17 23
17 34 68
3 42 11
23 14 90
30 13 33
22 49 35
41 22 99
30 18 86
41 46 63
39 49 79
32 33 86
48 15 65
36 23 96
32 38 14
7 4 48
38 30 34
36 7 8
45 37 93
13 32 25
2 3 1
31 5 79
26 40 56
38 43 2
45 19 5
14 42 25
27 42 86
27 14 99
39 24 7
37 38 20
40 3 66
38 29 24
1 36 14
0 8 38
32 14 65
20 45 56
48 31 28
42 8 45
42 10 23
38 6 48
33 26 58
47 32 28
11 19 1
30 9 12
13 44 61
17 30 25
18 35 41
21 26 80
22 47 77
22 43 30
30 20 41
39 23 67
38 44 29
0 29 4
4 6 22
43 44 41
7 13 95
10 41 41
28 25 5
43 35 2
13 10 95
44 49 81
26 33 39
42 14 85
32 19 61
19 8 96
45 23 84
12 0 64
5 22 57
6 22 24
21 9 45
44 41 20
1 14 35
13 22 91
34 6 46
29 43 42
23 25 15
26 17 82
36 28 11
30 48 88
9 1 75
8 42 69
43 23 8
43 7 86
7 29 91
2 35 99
11 0 74
48 22 83
36 32 31
46 49 3
2 23 34
42 21 96
39 37 15
26 5 25
6 1 11
30 43 31
25 29 72
40 48 4
34 20 71
19 35 38
29 28 60
15 24 82
43 14 96
10 27 57
31 6 72
9 14 15
6 11 34
8 3 34
30 6 39
44 31 49
38 42 88
4 29 5
19 10 62
41 24 17
24 39 78
40 5 14
13 41 78
32 1 83
15 40 95
32 34 17
8 11 40
20 48 84
34 12 12
4 9 48
6 40 64
17 13 62
15 45 96
49 4 47
12 49 63
30 19 89
28 35 32
30 22 27
37 27 60
45 48 65
15 35 88
15 23 13
46 6 75
23 22 70
4 7 62
0 15 30
36 47 28
46 38 54
43 46 34
31 16 19
45 49 96
27 26 51
21 17 32
46 8 34
10 48 27
47 3 2
31 48 24
11 8 24
3 46 52
33 37 55
44 15 91
29 6 83
15 12 40
49 22 3
27 29 26
14 15 43
14 21 74
48 46 71
20 41 59
8 41 56
18 23 64
39 0 62
6 25 76
48 37 65
26 11 39
3 28 6
48 4 62
28 45 14
25 35 1
15 26 4
9 19 95
46 29 21
42 31 14
25 32 85
47 40 91
35 17 77
5 6 87
26 4 83
20 6 70
35 1 37
44 43 67
31 21 13
8 31 39
16 41 38
12 41 64
8 9 84
44 4 73
18 16 13
33 20 60
23 30 81
1 23 91
43 39 91
32 13 28
49 13 28
40 6 30
10 47 83
48 13 22
36 40 1
44 27 73
46 27 45
15 48 85
19 29 16
40 9 41
42 0 97
44 19 62
39 13 49
46 39 53
48 5 68
29 3 7
32 26 13
2 20 52
12 42 54
26 34 40
29 5 71
11 33 45
42 25 14
18 27 37
14 4 40
41 6 74
24 7 27
39 28 95
41 40 43
16 39 33
44 2 89
36 0 84
2 12 16
15 8 98
43 41 54
38 47 99
23 20 62
1 27 16
6 48 86
45 20 55
13 30 79
6 15 92
35 7 44
49 14 72
33 5 17
5 1 34
9 11 18
2 27 49
33 35 25
26 22 79
18 22 68
49 45 43
19 46 41
42 26 34
27 34 27
13 38 46
40 11 77
34 9 11
16 0 87
16 14 77
9 15 6
38 31 35
4 27 63
33 16 39
49 39 24
5 32 30
33 43 27
39 4 88
45 10 51
6 47 80
44 33 13
6 23 62
3 22 17
42 5 59
41 27 63
27 15 64
24 44 23
16 7 64
30 45 15
35 13 48
34 4 96
7 14 16
17 32 4
28 36 51
45 18 77
45 24 49
27 46 77
2 13 97
11 27 38
38 36 94
49 29 21
46 20 74
16 5 49
12 20 89
48 11 93
31 19 91
9 5 76
15 37 40
49 3 40
3 9 82
1 25 96
18 20 40
33 39 57
32 36 92
35 27 54
8 47 87
40 44 50
17 25 56
48 40 99
11 35 18
30 26 5
47 12 51
30 32 78
19 27 46
9 27 66
33 14 9
12 36 30
30 36 28
41 13 49
27 22 38
8 17 41
47 13 57
45 28 91
24 21 61
2 5 55
6 27 17
0 4 36
46 2 73
47 21 66
28 7 56
22 42 37
7 15 2
16 34 82
24 25 22
9 6 87
45 5 19
