200 39800
24 73 88
103 22 52
34 168 6
122 43 64
0 167 6
150 78 20
193 145 57
93 74 69
52 62 54
32 187 51
164 150 37
152 176 42
160 73 99
34 6 61
69 40 64
92 188 11
164 70 7
33 74 50
91 72 23
124 17 7
175 14 31
49 109 11
14 102 7
70 86 73
125 60 33
198 33 22
134 168 30
45 141 33
75 173 43
18 163 5
194 112 90
16 113 74
75 147 28
195 99 63
44 26 64
108 25 86
186 54 75
8 146 46
42 129 78
34 49 31
159 137 50
120 113 3
48 197 95
134 105 27
134 190 82
104 118 45
178 147 28
36 198 27
146 31 63
71 185 98
70 58 94
112 157 4
96 73 84
0 131 78
190 45 67
90 46 89
87 174 98
91 56 63
196 146 86
155 118 92
78 6 40
184 67 42
95 22 39
128 173 61
118 74 95
66 96 65
186 122 38
48 46 9
117 110 42
156 47 24
60 102 97
124 182 26
44 113 66
43 67 75
3 1 13
36 116 22
96 179 25
79 42 8
82 162 54
185 72 61
92 179 8
159 22 58
122 159 49
116 111 81
168 108 95
31 10 35
69 120 82
25 98 81
130 146 54
137 32 91
6 110 27
120 23 37
74 125 55
158 126 34
117 173 42
65 128 3
4 178 9
168 97 75
135 139 75
26 96 60
93 66 58
166 49 26
91 197 12
0 12 42
80 49 13
107 60 50
135 181 64
183 174 41
10 188 86
179 174 83
18 2 36
7 110 41
121 134 83
171 54 27
19 163 69
179 26 5
131 88 77
36 11 51
47 193 2
40 6 41
154 140 71
131 189 7
48 81 31
192 45 86
101 174 12
72 16 73
113 83 29
65 53 52
129 23 6
170 186 69
47 10 68
30 81 70
31 38 69
179 5 60
50 9 66
9 16 91
158 116 73
109 104 43
122 70 11
146 112 35
112 73 64
137 197 81
143 56 66
129 139 28
65 120 58
188 46 40
105 131 6
143 157 68
146 137 46
110 47 28
161 42 55
67 130 86
110 125 10
58 135 92
119 135 32
70 74 15
88 34 46
72 39 54
144 52 6
101 154 40
26 178 85
151 71 74
47 128 98
58 93 44
9 7 27
55 119 34
80 179 60
153 179 68
68 150 42
57 176 76
197 171 67
106 39 43
77 157 68
109 153 97
194 107 72
95 174 80
103 99 67
39 21 10
163 78 68
84 178 21
22 74 23
14 195 48
92 20 96
126 71 6
156 68 6
138 22 74
16 80 93
34 61 1
31 119 74
7 3 64
99 13 87
147 11 78
49 158 58
99 146 54
58 92 40
39 172 91
96 102 77
170 132 81
50 107 82
167 51 53
61 145 56
66 99 2
182 93 70
113 25 54
169 107 52
167 8 61
145 25 67
140 191 19
121 199 74
4 30 46
131 49 44
112 111 40
171 13 27
18 5 51
128 153 19
7 108 47
66 162 79
106 57 98
195 193 49
180 185 70
163 60 80
131 193 72
130 72 18
14 71 48
178 97 56
111 20 55
162 94 19
81 128 20
184 75 63
79 198 99
131 44 22
65 88 19
155 138 10
160 33 33
150 100 34
44 131 23
72 6 50
138 79 28
66 80 76
68 9 81
5 199 25
13 165 11
30 185 94
149 102 74
103 188 42
136 129 74
152 141 50
137 198 7
43 141 73
38 165 23
59 117 6
70 20 91
161 117 24
62 156 73
7 1 96
97 131 40
35 95 57
134 106 78
75 49 8
90 21 45
107 171 30
12 105 53
69 115 69
115 25 40
11 13 45
138 149 85
145 75 76
6 18 42
55 43 47
156 106 18
103 107 72
18 169 10
181 122 52
176 124 26
55 80 98
145 180 58
53 19 41
106 125 19
87 157 53
177 48 94
149 199 8
115 149 20
173 199 91
134 41 10
4 181 90
13 9 45
120 69 27
105 42 26
134 196 49
172 142 23
16 179 70
79 192 30
127 185 42
35 64 81
125 195 67
0 136 84
89 6 81
25 188 61
172 56 15
83 48 31
25 70 27
168 4 59
46 71 9
90 123 31
29 33 95
0 3 78
38 135 17
198 178 53
104 166 28
81 35 85
98 67 95
21 58 19
51 124 53
111 69 73
165 143 34
151 96 66
26 196 53
95 199 59
66 145 70
180 32 68
24 126 70
11 181 23
122 117 24
56 191 84
134 146 30
99 63 17
43 93 26
195 24 59
158 139 30
132 179 85
147 63 88
29 106 2
119 89 56
137 58 70
10 186 50
60 52 43
194 43 27
187 181 23
166 155 27
139 1 13
35 46 37
117 159 62
152 163 40
16 175 73
171 118 96
104 37 99
77 109 55
105 89 62
73 7 23
120 146 51
15 199 46
11 189 3
193 151 65
170 96 61
82 55 74
47 104 17
141 99 40
7 147 15
130 10 8
107 95 32
64 190 79
39 131 41
133 89 84
20 104 24
113 105 20
8 35 25
98 151 66
39 186 31
195 117 28
141 24 87
57 139 26
174 193 45
129 16 23
97 30 19
178 185 45
40 192 59
182 9 42
104 65 74
52 85 9
179 183 53
92 71 24
160 110 3
93 151 9
