250 62250
115 204 94
125 53 79
112 63 80
119 140 33
132 177 44
186 10 74
155 119 60
227 46 40
121 92 7
187 145 1
111 71 17
220 114 15
221 231 6
205 67 3
202 83 79
76 5 48
108 91 62
102 78 76
220 7 94
92 187 51
245 198 65
158 218 3
136 149 76
4 6 50
52 25 25
145 190 67
45 20 31
89 82 37
155 12 22
7 14 22
56 52 64
3 123 33
199 249 49
174 23 75
130 155 84
13 204 35
238 176 95
249 46 50
221 181 28
22 107 75
26 87 89
9 215 10
209 54 21
149 3 32
175 79 65
95 163 25
48 138 13
21 175 34
135 136 10
79 239 1
16 217 51
32 216 66
52 197 81
0 197 8
214 226 10
222 185 16
84 24 33
241 212 27
181 82 92
151 207 93
197 28 95
66 208 81
132 11 54
21 63 75
49 87 77
226 181 19
127 11 58
146 46 41
32 188 84
85 93 46
195 191 57
41 125 86
228 147 37
49 208 70
200 42 13
51 39 95
193 147 45
158 177 49
145 149 94
226 75 60
182 139 79
29 162 17
132 102 59
176 177 63
239 144 25
187 74 25
226 229 59
179 66 79
141 220 18
62 128 81
22 221 96
104 33 97
92 141 7
106 204 81
188 170 32
56 150 30
149 229 98
42 54 20
238 222 24
25 232 23
34 111 60
47 125 34
205 238 41
247 248 62
131 177 55
230 195 42
136 130 67
52 22 89
1 60 84
96 249 41
55 65 7
57 165 44
147 13 87
19 140 25
45 156 7
76 25 33
86 168 5
235 229 35
153 50 61
0 123 87
177 95 3
150 214 24
101 43 12
108 53 91
0 41 40
164 176 61
174 88 47
59 227 2
162 239 55
63 102 10
188 18 2
196 201 96
7 16 50
150 87 37
62 61 9
59 153 25
217 203 4
40 3 31
86 52 84
123 220 62
6 2 39
157 80 99
18 46 23
215 120 53
78 9 58
163 14 69
186 175 78
185 132 7
179 175 30
99 155 9
62 187 93
94 11 20
11 97 95
98 169 96
245 37 7
47 245 87
222 84 29
30 170 44
168 2 36
143 233 32
181 115 31
206 57 66
14 77 6
160 93 67
13 128 3
240 249 5
99 194 62
180 77 12
105 111 45
221 130 80
179 23 71
208 205 39
98 236 48
237 3 38
232 143 69
39 188 23
239 205 81
72 219 47
66 121 23
229 43 58
6 203 17
46 21 71
193 87 95
229 45 68
160 29 70
173 175 85
196 57 43
21 72 48
165 237 4
26 166 27
120 113 16
12 211 34
200 238 83
186 68 86
110 167 58
233 57 77
92 87 98
161 54 85
139 203 54
153 68 32
145 196 19
202 242 3
8 97 17
229 140 2
36 222 64
211 153 31
194 156 21
13 7 47
130 81 69
166 48 34
187 32 19
179 73 86
235 82 98
116 220 47
99 100 83
29 70 75
32 152 23
182 149 9
25 106 69
240 144 61
161 184 69
147 10 39
127 213 37
8 45 47
47 80 73
96 195 32
84 69 16
89 157 86
210 206 30
164 67 89
18 211 58
28 128 57
104 47 48
54 132 69
33 203 55
67 159 55
69 92 13
183 155 20
232 129 28
149 195 92
221 91 32
229 231 2
79 2 59
177 134 60
1 53 33
154 143 84
209 138 67
86 197 3
13 58 92
201 214 49
23 129 25
249 65 54
166 55 48
53 204 12
247 193 50
155 211 76
149 74 44
194 185 4
64 35 54
190 51 99
212 148 43
236 166 66
29 160 6
10 43 62
14 93 27
40 202 35
192 130 41
60 31 28
103 35 91
22 83 94
221 54 72
223 53 94
58 167 23
134 230 98
197 198 63
12 228 57
184 120 38
138 186 94
225 210 67
132 119 12
170 2 56
63 178 16
248 48 54
90 236 12
111 171 98
231 132 64
94 1 89
122 245 76
214 151 64
81 197 53
7 81 57
92 242 57
139 41 48
112 205 91
25 73 58
170 183 2
81 229 23
121 53 72
1 62 98
207 153 84
155 154 25
30 84 43
247 49 93
112 204 70
9 17 54
63 12 67
202 210 87
178 224 95
156 168 56
66 9 21
151 56 27
106 171 72
219 52 15
210 79 42
32 153 92
58 166 84
123 183 39
163 43 61
63 81 78
53 103 14
15 222 97
202 91 94
217 93 69
77 201 62
214 213 10
10 199 68
220 27 72
46 171 89
155 134 63
94 104 73
244 118 19
183 7 90
119 87 88
92 96 88
101 29 88
204 44 30
77 150 78
26 230 84
106 8 38
115 196 45
68 65 47
137 166 16
21 112 72
62 5 65
216 167 91
32 44 89
154 225 99
227 38 61
31 21 99
94 189 17
13 129 13
2 165 13
50 85 42
152 194 52
10 120 86
220 26 7
166 68 80
42 217 57
202 54 43
44 234 13
132 66 7
89 172 34
18 196 74
98 245 50
220 164 4
134 116 73
28 60 78
202 37 40
104 7 8
34 103 61
175 105 98
110 46 55
115 22 98
50 56 42
66 140 68
148 107 70
189 158 88
54 9 98
158 98 39
