250 31125
228 186 85
232 88 40
82 179 86
225 110 95
234 172 36
13 156 25
232 149 63
123 105 67
172 123 91
112 196 99
176 239 53
139 176 2
20 23 39
3 95 69
73 77 30
105 199 11
193 78 38
66 79 23
70 170 40
126 231 96
201 236 88
80 24 34
201 217 5
110 120 14
157 25 84
181 188 65
65 108 17
1 176 87
99 121 66
129 155 57
139 130 59
166 61 12
20 168 74
246 166 58
213 205 87
213 55 73
109 137 20
70 72 8
229 6 27
117 78 19
218 120 60
115 79 85
56 165 46
61 247 43
157 72 34
78 16 98
165 212 59
33 193 71
113 43 98
126 18 89
78 152 79
167 178 18
208 193 62
135 20 25
206 67 80
211 120 87
140 169 17
151 83 19
153 236 89
68 167 49
118 110 33
219 182 99
117 243 51
158 240 25
232 110 25
53 222 87
189 204 81
9 119 96
236 198 73
147 200 35
119 179 43
44 13 77
216 50 17
38 36 37
0 120 15
90 228 93
221 188 91
21 172 10
180 158 61
116 170 10
55 234 76
68 228 23
44 241 81
74 79 16
100 36 7
145 9 77
114 115 82
79 21 97
230 98 15
104 185 45
55 238 32
217 180 3
34 130 30
235 8 78
221 244 48
12 168 77
89 209 64
30 130 94
157 3 54
78 31 50
147 81 91
59 212 72
136 225 14
136 34 64
72 121 2
5 41 86
213 9 16
153 40 16
152 60 91
150 77 52
114 201 98
130 219 4
91 42 93
204 108 38
25 34 90
23 181 89
163 140 41
69 30 55
30 161 94
204 169 20
66 47 38
238 181 81
76 61 34
87 67 50
67 2 95
184 190 42
94 169 8
170 50 19
204 201 91
67 246 79
153 109 34
68 208 14
76 92 8
237 101 14
224 119 90
245 127 25
198 190 7
202 157 88
76 48 34
185 238 45
149 58 55
71 230 6
223 240 58
118 76 72
70 74 81
92 53 72
45 138 14
59 32 40
226 126 9
236 19 96
24 248 45
56 76 89
78 95 16
35 167 80
214 98 48
158 103 17
184 174 48
83 136 18
91 94 6
195 90 69
136 227 19
175 2 99
33 62 51
34 227 92
58 45 4
249 110 62
74 93 98
184 142 81
170 217 23
208 127 85
119 116 62
51 120 81
166 170 40
65 84 95
194 16 85
226 19 83
29 47 18
37 162 43
21 8 18
13 79 76
233 138 73
131 143 14
139 60 4
160 236 55
129 72 2
198 123 82
12 115 99
1 154 40
51 34 82
247 94 4
105 224 48
98 21 65
113 192 76
244 82 43
193 37 75
109 162 64
57 177 12
120 181 13
218 178 32
187 67 50
221 154 91
25 156 38
177 170 48
148 249 39
85 17 97
46 123 8
56 167 50
54 204 1
