200 19900
86 179 49
177 181 33
182 174 55
160 184 95
169 136 42
103 90 50
15 118 49
128 7 81
167 73 3
83 10 23
49 130 12
76 86 9
38 138 13
151 120 37
154 60 56
95 167 58
29 12 46
175 71 21
138 159 51
91 87 97
13 31 81
28 157 93
4 3 34
97 73 34
160 34 73
44 79 28
128 11 95
58 130 27
57 159 80
1 10 51
67 76 4
39 56 24
77 153 30
198 78 92
174 108 21
195 78 29
146 40 81
153 162 77
20 182 55
58 175 46
114 45 26
90 71 35
132 10 91
154 174 62
93 48 90
122 157 12
105 138 17
56 127 96
161 190 8
32 172 91
122 119 12
46 61 23
6 168 32
149 176 7
74 3 78
48 16 23
2 62 23
63 93 68
172 177 76
53 65 89
70 178 31
180 67 64
131 71 30
1 124 50
179 145 22
133 94 11
149 44 39
72 59 10
141 140 60
162 20 94
148 172 30
160 154 10
59 92 9
189 132 91
48 137 11
101 99 5
144 67 67
22 176 32
154 36 41
23 144 81
145 183 83
151 167 64
16 178 30
185 47 24
66 97 74
65 105 60
81 83 61
183 6 90
135 19 68
4 168 71
134 148 14
114 60 65
53 48 84
108 143 34
29 196 25
80 65 60
188 189 61
199 42 22
74 60 68
124 138 38
58 29 40
100 91 72
130 0 36
180 4 10
100 50 41
102 100 43
134 35 84
1 139 22
195 15 7
15 197 56
114 8 68
120 118 32
24 82 30
95 27 48
73 35 25
31 187 48
142 118 31
13 180 83
127 94 24
43 137 86
131 54 49
109 11 13
121 40 38
70 31 15
131 5 33
95 165 19
107 73 13
134 192 64
114 66 29
185 191 73
38 89 97
72 144 98
195 153 15
124 185 71
29 94 59
59 71 61
49 60 3
154 130 87
116 101 84
112 40 53
98 152 85
167 33 46
126 16 18
47 6 11
27 68 39
54 55 20
104 166 64
189 115 49
21 123 85
83 196 58
30 74 47
33 29 11
34 10 26
87 108 45
1 170 78
125 158 9
51 109 13
97 119 36
90 72 43
41 39 47
17 164 46
119 79 39
127 45 71
122 81 18
70 179 31
108 178 29
72 114 6
98 10 11
160 6 95
109 36 28
174 57 98
153 63 17
137 26 61
4 8 1
24 121 49
176 171 80
38 16 76
94 12 59
2 144 66
150 84 80
74 173 50
1 38 28
163 185 94
155 77 57
7 4 86
165 190 8
195 133 2
2 108 90
73 68 31
92 130 30
166 182 26
27 66 86
54 134 97
125 48 95
72 87 7
14 25 93
86 127 69
194 11 14
127 167 47
43 94 35
187 11 72
66 166 85
55 157 50
54 165 92
173 105 53
154 126 53
29 111 49
199 186 64
85 171 66
12 159 48
98 51 29
103 130 38
35 142 32
106 150 87
90 152 46
79 157 51
55 103 56
85 110 50
98 141 10
74 103 33
89 39 83
126 73 75
147 126 48
50 75 62
101 196 73
94 77 16
190 16 30
31 140 93
15 24 65
50 56 77
141 67 30
36 9 3
158 63 42
6 74 6
123 37 10
179 156 43
184 106 59
19 14 29
137 54 37
192 94 73
179 160 46
4 85 45
133 93 39
19 9 83
155 123 1
195 103 74
111 18 33
167 178 9
29 16 83
113 198 70
106 118 40
152 138 4
23 16 35
130 73 65
109 118 39
120 1 48
41 35 1
136 50 75
132 110 27
114 198 27
13 148 88
30 101 3
0 120 97
23 159 91
166 95 73
110 54 35
119 59 92
69 105 83
64 23 92
141 197 71
87 9 91
176 99 37
125 28 93
2 136 75
85 162 40
143 76 34
94 8 42
102 54 38
70 133 61
145 31 99
198 27 33
6 180 18
0 13 21
88 192 34
47 164 89
141 150 55
176 32 30
155 117 84
104 151 24
5 163 32
71 180 96
162 27 85
44 198 74
76 13 40
162 171 92
10 66 82
15 23 72
107 76 87
150 181 31
56 79 17
160 165 37
131 39 33
13 37 88
73 118 99
22 130 96
33 158 3
105 164 42
103 81 35
81 178 44
137 110 27
171 123 36
79 105 23
