750 280875
550 592 49
393 704 6
308 107 90
252 661 91
82 27 39
481 131 7
40 655 29
374 25 94
153 619 38
253 414 29
564 473 80
230 409 31
78 253 80
716 422 19
338 449 50
625 549 2
398 610 16
574 174 96
395 124 36
532 181 41
455 67 44
665 375 72
682 103 78
596 714 80
222 229 85
145 148 57
672 310 93
461 185 99
93 551 24
646 565 75
231 621 51
688 286 96
235 51 51
561 92 80
558 98 42
142 198 49
485 453 32
388 514 18
568 513 31
193 639 5
89 256 5
426 715 6
685 399 45
326 10 88
629 578 92
272 529 35
431 73 76
154 539 98
615 207 6
6 594 88
192 352 44
15 466 7
87 528 70
572 560 70
183 187 66
420 129 92
50 674 80
468 1 23
395 157 10
212 565 43
498 550 91
734 248 51
462 222 55
286 370 55
279 191 27
284 293 42
230 337 97
737 730 98
329 266 92
251 505 86
309 253 10
553 614 12
310 581 55
34 199 17
426 556 67
53 341 50
540 169 40
64 191 76
546 252 89
268 410 34
345 489 62
102 317 77
496 540 52
660 333 59
106 538 44
595 303 33
568 251 12
40 646 20
334 178 62
719 591 57
93 211 41
563 58 3
113 179 44
212 113 64
23 140 38
719 255 24
56 571 12
629 410 13
1 616 71
35 203 53
343 487 97
78 712 34
327 730 54
453 81 96
126 537 77
12 511 78
248 465 31
351 658 79
6 280 8
300 582 93
327 317 2
105 476 53
539 338 79
526 72 79
341 399 81
49 445 9
281 298 35
117 63 56
339 354 49
176 530 5
167 669 86
57 85 98
314 735 14
514 223 42
66 310 80
700 294 72
24 381 79
109 47 53
482 341 97
500 0 40
191 568 55
305 584 78
628 149 15
449 461 69
258 310 99
26 319 25
281 300 23
472 102 97
413 736 78
63 416 53
194 729 25
388 357 51
125 306 17
263 143 67
307 551 17
131 262 82
469 63 35
589 12 37
84 190 35
341 481 17
179 576 76
626 361 32
453 360 86
121 671 98
106 444 6
420 424 56
412 429 9
232 43 15
118 261 1
697 640 67
441 428 86
686 729 94
733 161 32
120 310 64
206 512 7
290 115 73
536 485 87
647 117 84
301 113 40
330 530 2
656 469 92
137 150 67
572 46 73
715 734 38
124 692 83
580 548 24
463 650 65
240 91 90
93 364 44
238 17 48
307 544 85
158 315 44
101 688 5
250 125 11
598 571 85
707 399 37
124 76 89
377 660 71
419 109 56
582 337 78
430 431 4
375 229 73
568 72 2
3 661 24
480 493 25
744 570 43
641 718 1
385 367 2
645 194 11
675 676 58
292 298 94
606 507 44
488 50 61
492 285 71
713 324 40
62 272 82
559 648 46
12 202 83
271 701 29
658 281 2
589 129 47
514 543 36
554 365 57
316 431 40
340 235 11
563 475 58
386 12 82
395 453 90
326 92 29
691 161 4
324 237 40
555 86 91
272 194 86
270 208 89
615 69 6
441 629 71
573 145 39
452 722 5
142 572 69
307 615 44
506 106 60
659 385 58
122 527 2
400 362 32
77 91 61
205 461 90
446 565 6
600 268 59
648 748 51
749 86 26
565 343 75
557 479 79
675 263 32
116 415 75
137 189 63
221 522 36
743 383 87
80 277 68
231 89 66
563 593 40
427 741 60
175 598 94
282 160 58
706 640 72
6 276 47
641 356 83
327 295 38
68 244 44
427 376 27
18 477 87
610 137 32
672 333 30
69 557 17
204 210 74
613 429 2
313 303 86
736 125 66
397 411 86
741 339 97
728 691 39
516 159 90
741 440 41
593 640 72
547 471 57
353 143 74
213 33 94
36 343 28
232 186 29
197 638 50
236 593 36
609 2 93
247 377 7
606 217 61
445 668 92
396 690 54
156 569 44
598 410 23
546 307 60
544 295 76
610 587 11
690 389 31
72 379 8
219 125 19
39 553 57
83 489 25
6 254 37
175 659 62
173 135 69
307 109 63
206 5 41
208 67 12
444 485 74
494 159 44
734 301 6
188 353 79
360 565 61
29 498 64
438 495 29
459 332 36
441 279 35
34 116 97
393 368 48
684 238 22
403 227 4
125 594 39
361 274 4
729 263 90
125 314 72
412 583 58
337 517 66
113 650 34
715 672 13
630 677 24
480 45 91
651 151 67
628 18 64
363 84 85
653 523 6
168 600 45
300 717 54
372 600 2
535 140 84
120 419 15
198 501 37
479 157 69
37 315 41
102 83 94
718 475 53
398 454 66
437 206 69
314 128 73
191 137 62
699 395 5
701 494 87
133 130 94
7 2 82
378 546 16
159 568 98
201 524 48
636 33 43
435 522 93
192 79 74
387 626 14
553 271 22
404 301 17
279 579 58
715 502 43
199 483 17
558 664 32
377 234 30
317 134 66
506 195 30
233 4 99
607 343 11
383 203 27
746 232 96
591 426 58
416 638 98
429 409 74
531 78 6
440 610 35
392 599 75
134 115 10
192 110 62
446 394 45
709 326 9
551 337 59
49 54 82
93 439 25
570 91 93
358 512 67
686 306 65
76 646 42
562 159 56
472 110 63
518 125 99
209 68 48
301 161 26
675 74 73
381 534 74
167 456 61
31 683 54
25 555 56
403 442 64
138 682 12
595 35 66
283 212 91
504 398 26
421 480 18
583 156 80
101 427 19
193 512 86
682 183 56
46 123 35
447 210 49
556 248 27
328 741 21
629 183 40
484 443 24
353 381 69
82 566 24
199 273 55
575 171 20
34 555 97
694 147 69
648 34 10
716 697 61
253 548 93
201 488 44
714 140 19
581 471 71
152 592 93
565 286 51
123 568 72
627 417 96
492 126 93
535 27 57
647 309 55
551 82 13
271 482 42
243 46 23
608 142 75
24 502 26
115 557 67
602 56 17
543 262 96
467 717 16
15 148 45
137 205 37
165 347 72
283 722 67
326 357 61
98 441 20
9 627 46
458 435 85
273 364 29
486 698 80
695 506 86
692 601 16
184 744 28
369 554 87
232 617 97
104 405 82
167 252 19
17 16 50
493 418 32
390 555 55
19 37 79
424 739 11
56 536 7
178 199 75
337 254 64
599 547 98
543 198 23
296 365 5
509 393 53
238 686 32
715 245 77
396 255 14
367 683 15
114 167 73
338 203 59
179 740 72
466 544 71
168 625 89
652 697 11
207 420 95
586 645 65
166 363 82
331 450 74
617 365 75
505 246 41
742 475 56
542 241 2
271 180 11
186 204 92
314 420 31
518 375 95
266 307 23
668 670 86
386 194 41
167 307 43
254 571 51
543 270 46
578 99 53
597 479 11
342 664 62
547 359 22
617 267 73
582 184 11
72 440 29
319 146 17
569 720 4
672 572 8
198 62 22
381 210 26
2 81 28
593 658 98
289 546 68
684 369 71
610 614 59
190 160 66
484 16 58
49 485 21
550 558 47
119 563 99
210 59 72
718 24 57
137 420 25
138 536 44
37 547 19
251 449 20
296 375 35
410 519 31
77 745 73
222 748 73
730 20 70
141 40 87
499 212 54
632 482 2
405 554 72
629 352 75
215 630 87
219 659 37
